stock_id,stock_name,passed_conditions,total_conditions,features,passed
600497.SH,驰宏锌锗,9,10,"{'ma_convergence': 0.11141218118195975, 'position': 0.8676925147581478, 'ma20_slope': 0.054819197656967016, 'ma60_slope': 0.014928689902962583, 'volume_trend': 0.17054191074400402, 'amount_ratio': 1.567031215760108, 'price_change_pct': 6.280991735537189, 'close_to_ma20': 14.362737195386774, 'duration_weeks': 10, 'convergence_ratio': 0.11141218118195975}",False
600498.SH,烽火通信,9,10,"{'ma_convergence': 0.23864271888281693, 'position': 0.6663907284768211, 'ma20_slope': 0.07353581129886487, 'ma60_slope': 0.13303933542981786, 'volume_trend': 0.12829512931506418, 'amount_ratio': 1.8047913232330584, 'price_change_pct': 0.07291286912139837, 'close_to_ma20': 17.98241546454364, 'duration_weeks': 10, 'convergence_ratio': 0.23864271888281693}",False
600499.SH,科达制造,7,10,"{'ma_convergence': 0.23519337203597696, 'position': 0.9653621450087475, 'ma20_slope': 0.3486697114468737, 'ma60_slope': 0.09411861154524043, 'volume_trend': -0.08322144470683579, 'amount_ratio': 1.1243406738845525, 'price_change_pct': 3.4686971235194597, 'close_to_ma20': 11.923457708869044, 'duration_weeks': 10, 'convergence_ratio': 0.23519337203597696}",False
600500.SH,中化国际,6,10,"{'ma_convergence': 0.07928571428571432, 'position': 0.4710743801652895, 'ma20_slope': 0.06688654353562001, 'ma60_slope': 0.008482086340043066, 'volume_trend': -0.49472986805350094, 'amount_ratio': 0.8205121409573051, 'price_change_pct': -6.873614190687354, 'close_to_ma20': 3.870409298874745, 'duration_weeks': 10, 'convergence_ratio': 0.07928571428571432}",False
600501.SH,航天晨光,7,10,"{'ma_convergence': 0.19060416666666669, 'position': 0.6440860215053764, 'ma20_slope': 0.21159909287018075, 'ma60_slope': 0.1638575393619206, 'volume_trend': -0.5192729368487975, 'amount_ratio': 0.7791784674320646, 'price_change_pct': -0.9492364836978968, 'close_to_ma20': 9.566527425871403, 'duration_weeks': 10, 'convergence_ratio': 0.19060416666666669}",False
600502.SH,安徽建工,4,10,"{'ma_convergence': 0.05931751247264782, 'position': 0.1535661065077265, 'ma20_slope': 0.09018056956164114, 'ma60_slope': 0.034718171907887514, 'volume_trend': -0.04527304677711546, 'amount_ratio': 0.9501692803900768, 'price_change_pct': -3.991596638655452, 'close_to_ma20': -2.949381834898357, 'duration_weeks': 10, 'convergence_ratio': 0.05931751247264782}",False
600503.SH,华丽家族,8,10,"{'ma_convergence': 0.24898989898989904, 'position': 0.5792682926829267, 'ma20_slope': 0.1070465922217942, 'ma60_slope': 0.12722464223600086, 'volume_trend': -0.14311258955198927, 'amount_ratio': 1.594532406800858, 'price_change_pct': 7.491856677524429, 'close_to_ma20': 14.782608695652169, 'duration_weeks': 10, 'convergence_ratio': 0.24898989898989904}",False
600505.SH,西昌电力,4,10,"{'ma_convergence': 0.18154153412267096, 'position': 0.047099980744481434, 'ma20_slope': 0.22386469689690255, 'ma60_slope': 0.14780213414029011, 'volume_trend': -0.4883781107422696, 'amount_ratio': 0.2583562234656368, 'price_change_pct': -5.571847507331377, 'close_to_ma20': -10.281073199846068, 'duration_weeks': 10, 'convergence_ratio': 0.18154153412267096}",False
600506.SH,统一股份,4,10,"{'ma_convergence': 0.14548736462093853, 'position': 0.16286149162861496, 'ma20_slope': 0.04387228581157173, 'ma60_slope': 0.1619917230506475, 'volume_trend': -0.3662842538661676, 'amount_ratio': 0.8424373261231288, 'price_change_pct': -14.35512367491166, 'close_to_ma20': -2.6948361519546293, 'duration_weeks': 10, 'convergence_ratio': 0.14548736462093853}",False
600507.SH,方大特钢,6,10,"{'ma_convergence': 0.22853131451414507, 'position': 0.5142857142857141, 'ma20_slope': 0.23547992633438505, 'ma60_slope': 0.0947696106354711, 'volume_trend': -0.44799612830240126, 'amount_ratio': 0.6959302355041559, 'price_change_pct': -2.8673835125448055, 'close_to_ma20': 4.791264696381814, 'duration_weeks': 10, 'convergence_ratio': 0.22853131451414507}",False
600508.SH,上海能源,5,10,"{'ma_convergence': 0.02810253325020795, 'position': 0.599100481705827, 'ma20_slope': -0.0003303766777462652, 'ma60_slope': -0.03659317433051604, 'volume_trend': -0.21957890058951432, 'amount_ratio': 0.8676806467843778, 'price_change_pct': -0.08305647840531385, 'close_to_ma20': 1.7084437798365562, 'duration_weeks': 10, 'convergence_ratio': 0.02810253325020795}",False
600509.SH,天富能源,9,10,"{'ma_convergence': 0.20620035250936306, 'position': 0.9147384935481536, 'ma20_slope': 0.09596095917026048, 'ma60_slope': 0.08718452466388747, 'volume_trend': 2.1399639366131202, 'amount_ratio': 2.4976842115588824, 'price_change_pct': 34.64447806354009, 'close_to_ma20': 28.643290885992627, 'duration_weeks': 10, 'convergence_ratio': 0.20620035250936306}",False
600510.SH,黑牡丹,8,10,"{'ma_convergence': 0.3393509205298013, 'position': 0.7272132650103983, 'ma20_slope': 0.2476716905171966, 'ma60_slope': 0.14115072711269638, 'volume_trend': -0.40103623909037556, 'amount_ratio': 1.2279311957205288, 'price_change_pct': 4.137931034482756, 'close_to_ma20': 23.778888476074016, 'duration_weeks': 10, 'convergence_ratio': 0.3393509205298013}",False
600511.SH,国药股份,2,10,"{'ma_convergence': 0.04349988393356632, 'position': 0.04029345183727057, 'ma20_slope': -0.010572386780121583, 'ma60_slope': -0.028900589156476565, 'volume_trend': -0.3397798246872703, 'amount_ratio': 0.8595301979861558, 'price_change_pct': -3.378378378378378, 'close_to_ma20': -2.970765112087612, 'duration_weeks': 10, 'convergence_ratio': 0.04349988393356632}",False
600512.SH,腾达建设,9,10,"{'ma_convergence': 0.08137115390946477, 'position': 0.48451195930413427, 'ma20_slope': 0.043808806993357555, 'ma60_slope': 0.04595740252405273, 'volume_trend': 0.3241667613936737, 'amount_ratio': 1.3677556537611224, 'price_change_pct': 2.100840336134465, 'close_to_ma20': 3.629643355179251, 'duration_weeks': 10, 'convergence_ratio': 0.08137115390946477}",False
600513.SH,联环药业,6,10,"{'ma_convergence': 0.5219462443106457, 'position': 0.44680785936244444, 'ma20_slope': 0.75785016073298, 'ma60_slope': 0.2996823501484755, 'volume_trend': -0.6724287164264692, 'amount_ratio': 0.6606895379941293, 'price_change_pct': -17.849462365591393, 'close_to_ma20': 14.276519731982956, 'duration_weeks': 10, 'convergence_ratio': 0.5219462443106457}",False
600515.SH,海南机场,6,10,"{'ma_convergence': 0.08581730769230753, 'position': 0.7213114754098362, 'ma20_slope': 0.03151980265862652, 'ma60_slope': 0.03354820495929999, 'volume_trend': -0.2727346536251228, 'amount_ratio': 0.9741834682607183, 'price_change_pct': 6.3938618925831205, 'close_to_ma20': 10.53540587219345, 'duration_weeks': 10, 'convergence_ratio': 0.08581730769230753}",False
600516.SH,方大炭素,8,10,"{'ma_convergence': 0.0683564346104725, 'position': 0.6324705259338784, 'ma20_slope': 0.0017757536798374129, 'ma60_slope': 0.012870147398268767, 'volume_trend': 1.1357471953405454, 'amount_ratio': 2.0375135503111954, 'price_change_pct': 5.668016194331971, 'close_to_ma20': 7.917628476242166, 'duration_weeks': 10, 'convergence_ratio': 0.0683564346104725}",False
600517.SH,国网英大,7,10,"{'ma_convergence': 0.1121431733106193, 'position': 0.6746244071213006, 'ma20_slope': 0.07530494708537586, 'ma60_slope': 0.06697257130289204, 'volume_trend': -0.27848610013345254, 'amount_ratio': 1.0255640448155292, 'price_change_pct': -0.1700680272108807, 'close_to_ma20': 8.771965766545726, 'duration_weeks': 10, 'convergence_ratio': 0.1121431733106193}",False
600518.SH,康美药业,8,10,"{'ma_convergence': 0.03721122112211218, 'position': 0.3902439024390243, 'ma20_slope': -0.057049333645078075, 'ma60_slope': 0.008275086366192709, 'volume_trend': 0.1183274923281488, 'amount_ratio': 1.2110548273440596, 'price_change_pct': -0.980392156862746, 'close_to_ma20': 0.17356806347631223, 'duration_weeks': 10, 'convergence_ratio': 0.03721122112211218}",False
